Aglomeración;SC Función ciudades;Departamento;Municipio;Divipola;AÑO;Personas;Hectareas;,,
A-Medellin;Centro aglomeracion;5;Medellin;5001;2018;2529403;18793,6724;,
Fuera SC;Fuera SC;5;Abejorral;5002;2018;18991;12766,24381;,
Fuera SC;Fuera SC;5;Abriaqui;5004;2018;1971;15183,56737;,
Fuera SC;Fuera SC;5;Alejandria;5021;2018;3361;6055,969604;,
Fuera SC;Fuera SC;5;Amaga;5030;2018;30181;2244,610548;,
Fuera SC;Fuera SC;5;Amalfi;5031;2018;22567;60210,51859;,
Fuera SC;Fuera SC;5;Andes;5034;2018;47003;19994,76186;,
Fuera SC;Fuera SC;5;Angelopolis;5036;2018;9353;4900,50162;,
Fuera SC;Fuera SC;5;Angostura;5038;2018;11040;3336,041269;,
Fuera SC;Fuera SC;5;Anori;5040;2018;17737;80727,63782;,
Fuera SC;Fuera SC;5;Santafe de Antioquia;5042;2018;25067;9720,860193;,
Fuera SC;Fuera SC;5;Anza;5044;2018;7601;4230,178813;,
SA-Apartado-Turbo;Uninodal;5;Apartado;5045;2018;195068;15901,0344;,
Fuera SC;Fuera SC;5;Arboletes;5051;2018;43416;3958,86131;,
Fuera SC;Fuera SC;5;Argelia;5055;2018;8306;13101,53635;,
Fuera SC;Fuera SC;5;Armenia;5059;2018;3945;2031,963599;,
A-Medellin;En aglomeracion;5;Barbosa;5079;2018;52395;1868,876549;,
Fuera SC;Fuera SC;5;Belmira;5086;2018;6930;19577,7197;,
A-Medellin;En aglomeracion;5;Bello;5088;2018;482287;3775,213981;,
Fuera SC;Fuera SC;5;Betania;5091;2018;8976;8998,360244;,
Fuera SC;Fuera SC;5;Betulia;5093;2018;17726;6075,985201;,
Fuera SC;Fuera SC;5;Ciudad Bolivar;5101;2018;26698;9308,64855;,
Fuera SC;Fuera SC;5;Briceño;5107;2018;8673;10315,73712;,
Fuera SC;Fuera SC;5;Buritica;5113;2018;6495;6602,036047;,
Fuera SC;Fuera SC;5;Caceres;5120;2018;41012;43328,14847;,
